GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dinosaur-park,com.axity.dinosaurpark.simulation,SimulationEngine,6,593,0,22,2,95,0,20,0,9
dinosaur-park,com.axity.dinosaurpark.simulation,ParkState,52,268,0,4,11,74,9,37,9,35
dinosaur-park,com.axity.dinosaurpark.config,ParkConfig,22,52,2,2,6,12,5,5,3,5
dinosaur-park,com.axity.dinosaurpark.model,Guard,14,6,2,0,6,2,4,1,3,1
dinosaur-park,com.axity.dinosaurpark.model,DinosaurStatus,0,34,0,0,0,1,0,1,0,1
dinosaur-park,com.axity.dinosaurpark.model,SatisfactionSurvey,28,0,2,0,11,0,5,0,4,0
dinosaur-park,com.axity.dinosaurpark.model,Dinosaur,17,28,0,0,7,11,5,4,5,4
dinosaur-park,com.axity.dinosaurpark.model,TouristStatus,0,44,0,0,0,1,0,1,0,1
dinosaur-park,com.axity.dinosaurpark.model,Tourist,18,38,0,0,8,14,5,7,5,7
dinosaur-park,com.axity.dinosaurpark.model,CarnivoreDinosaur,2,10,0,0,1,3,1,2,1,2
dinosaur-park,com.axity.dinosaurpark.model,Worker,6,15,0,0,2,6,2,2,2,2
dinosaur-park,com.axity.dinosaurpark.model,Vehicule,12,40,3,1,3,15,2,6,0,6
dinosaur-park,com.axity.dinosaurpark.model,Technician,2,32,0,2,1,12,1,5,1,4
dinosaur-park,com.axity.dinosaurpark.model,HerbivoreDinosaur,2,10,0,0,1,3,1,2,1,2
dinosaur-park,com.axity.dinosaurpark.model,Ticket,33,0,0,0,12,0,6,0,6,0
dinosaur-park,com.axity.dinosaurpark.model,VehiculeStatus,0,34,0,0,0,1,0,1,0,1
dinosaur-park,com.axity.dinosaurpark,Main,16,0,0,0,5,0,2,0,2,0
dinosaur-park,com.axity.dinosaurpark.persistence,ExpenseRecord,0,18,0,0,0,1,0,1,0,1
dinosaur-park,com.axity.dinosaurpark.persistence,RevenueRecord,0,21,0,0,0,1,0,1,0,1
dinosaur-park,com.axity.dinosaurpark.persistence,EventRecord,0,21,0,0,0,1,0,1,0,1
dinosaur-park,com.axity.dinosaurpark.persistence,DatabaseService,0,151,0,0,0,35,0,5,0,5
dinosaur-park,com.axity.dinosaurpark.zone,BathroomZone,7,96,0,8,2,21,1,12,1,8
dinosaur-park,com.axity.dinosaurpark.zone,ObservationEnclosure,48,129,5,5,14,30,9,5,6,3
dinosaur-park,com.axity.dinosaurpark.zone,PowerPlant,38,65,4,2,9,16,8,7,6,6
dinosaur-park,com.axity.dinosaurpark.zone,ExperienceType,34,0,0,0,1,0,1,0,1,0
dinosaur-park,com.axity.dinosaurpark.zone,CentralHub,9,77,0,6,3,16,2,9,2,6
dinosaur-park,com.axity.dinosaurpark.zone,ArrivalZone,39,76,2,4,8,19,4,7,2,6
dinosaur-park,com.axity.dinosaurpark.events,DealHourEvent,0,53,0,2,0,15,0,7,0,6
dinosaur-park,com.axity.dinosaurpark.events,StormEvent,3,79,0,0,1,19,0,8,0,8
dinosaur-park,com.axity.dinosaurpark.events,VehiculeFailureEvent,32,47,3,1,4,13,3,6,1,6
dinosaur-park,com.axity.dinosaurpark.events,BlackoutEvent,53,9,0,0,13,4,4,2,4,2
dinosaur-park,com.axity.dinosaurpark.events,DinosaurEscapeEvent,7,107,2,4,3,21,2,9,0,8
dinosaur-park,com.axity.dinosaurpark.monitoring,ParkMonitor,3,108,0,0,1,12,1,3,1,3
